Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram160_20.cnf 638.02 150.378 1504.5 458.028 5000.01 206.592 899.156
Volfram160_21.cnf 5000.01 5000.01 4996.6 5000 5000.01 5000.43 5000
Volfram160_22.cnf 5000.01 5000.01 4996.4 5000 5000 5000.41 5000
Volfram160_23.cnf 5000.01 5000.01 4997.1 2291.52 5000.01 5000.42 5000
Volfram160_24.cnf 1358.68 5000.01 4995.5 5000 5000.01 2218.19 5000
Volfram160_25.cnf 5000.01 5000.01 4988.8 5000 5000.01 5000.01 5000.01
Volfram160_26.cnf 5000.01 5000.03 4991.4 5000 5000 5000.01 5000.01
Volfram160_27.cnf 5000.01 5000.01 4993.9 5000 621.94 5000.01 5000.01
Volfram160_28.cnf 5000.01 5000.01 4993.7 5000 5000.01 5000.01 5000
Volfram160_29.cnf 422.612 865.103 213.3 1482.18 3384.48 135.676 1454.79
Volfram160_3.cnf 1840.87 5000.01 4993.5 5000 5000 3297.42 5000
Volfram160_30.cnf 5000.03 5000.01 4995.4 5000.01 5000.01 5000.01 5000.01
Volfram160_31.cnf 5000.01 5000.01 4993.4 5000 5000.01 5000.01 3447.52
Volfram160_32.cnf 5000.01 5000.01 4995.3 5000.01 5000 5000.01 5000.01
Volfram160_33.cnf 5000.01 4392.51 4987.8 5000 5000.01 5000.01 5000.01
Volfram160_34.cnf 554.232 1172.8 229.1 334.976 426.912 261.16 860.388
Volfram160_35.cnf 5000 5000.01 4995.8 5000 5000.01 5000.01 5000.01
Volfram160_36.cnf 5000.01 5000.01 4989.1 5000.01 5000 5000 5000
